序号,全称,级别,类型,级别标签,类型标签,组合标签,细分标签,上级,省,地理大区,备注
1,全国政协,国家级,全国,国家级,全国,"国家级政协,全国政协",,,,全国,
2,北京市政协,省级,直辖市,省级,直辖市,"省级政协,直辖市政协",,,北京市,华北,
3,北京市东城区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
4,北京市西城区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
5,北京市朝阳区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
6,北京市丰台区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
7,北京市石景山区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
8,北京市海淀区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
9,北京市门头沟区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
10,北京市房山区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
11,北京市通州区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
12,北京市顺义区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
13,北京市昌平区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
14,北京市大兴区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
15,北京市怀柔区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
16,北京市平谷区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
17,北京市密云区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
18,北京市延庆区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,北京市,北京市,华北,
19,天津市政协,省级,直辖市,省级,直辖市,"省级政协,直辖市政协",,,天津市,华北,
20,天津市和平区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
21,天津市河东区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
22,天津市河西区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
23,天津市南开区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
24,天津市河北区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
25,天津市红桥区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
26,天津市东丽区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
27,天津市西青区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
28,天津市津南区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
29,天津市北辰区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
30,天津市武清区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
31,天津市宝坻区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
32,天津市滨海新区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,疑似功能区（含「新区」），通常无独立政协委员会，请核实
33,天津市宁河区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
34,天津市静海区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
35,天津市蓟州区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,天津市,天津市,华北,
36,河北省政协,省级,省,省级,省,"省级政协,省政协",,,河北省,华北,
37,石家庄市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,石家庄市,河北省,华北,
38,石家庄市长安区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,石家庄市,河北省,华北,
39,石家庄市桥西区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,石家庄市,河北省,华北,
40,石家庄市新华区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,石家庄市,河北省,华北,
41,石家庄市井陉矿区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,石家庄市,河北省,华北,
42,石家庄市裕华区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,石家庄市,河北省,华北,
43,石家庄市藁城区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,石家庄市,河北省,华北,
44,石家庄市鹿泉区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,石家庄市,河北省,华北,
45,石家庄市栾城区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,石家庄市,河北省,华北,
46,石家庄市井陉县政协,县级,县,县级,县,"县级政协,县政协",,石家庄市,河北省,华北,
47,石家庄市正定县政协,县级,县,县级,县,"县级政协,县政协",,石家庄市,河北省,华北,
48,石家庄市行唐县政协,县级,县,县级,县,"县级政协,县政协",,石家庄市,河北省,华北,
49,石家庄市灵寿县政协,县级,县,县级,县,"县级政协,县政协",,石家庄市,河北省,华北,
50,石家庄市高邑县政协,县级,县,县级,县,"县级政协,县政协",,石家庄市,河北省,华北,
51,石家庄市深泽县政协,县级,县,县级,县,"县级政协,县政协",,石家庄市,河北省,华北,
52,石家庄市赞皇县政协,县级,县,县级,县,"县级政协,县政协",,石家庄市,河北省,华北,
53,石家庄市无极县政协,县级,县,县级,县,"县级政协,县政协",,石家庄市,河北省,华北,
54,石家庄市平山县政协,县级,县,县级,县,"县级政协,县政协",,石家庄市,河北省,华北,
55,石家庄市元氏县政协,县级,县,县级,县,"县级政协,县政协",,石家庄市,河北省,华北,
56,石家庄市赵县政协,县级,县,县级,县,"县级政协,县政协",,石家庄市,河北省,华北,
57,石家庄市石家庄高新技术产业开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,石家庄市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
58,石家庄市石家庄循环化工园区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,石家庄市,河北省,华北,
59,石家庄市辛集市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,石家庄市,河北省,华北,
60,石家庄市晋州市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,石家庄市,河北省,华北,
61,石家庄市新乐市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,石家庄市,河北省,华北,
62,唐山市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,唐山市,河北省,华北,
63,唐山市路南区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,唐山市,河北省,华北,
64,唐山市路北区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,唐山市,河北省,华北,
65,唐山市古冶区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,唐山市,河北省,华北,
